Source,IMD,,,,,,,,,,,,,,
State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Haryana,Gurgaon,2005,2.5,47,13.6,0.2,7.2,42.3,289.6,64,161.8,0,0,0,628.2
Haryana,Gurgaon,2006,0,0,50.9,9,32.3,21.3,114.2,42.5,63.3,0,4,3,340.5
Haryana,Gurgaon,2007,N.A.,103,N.A.,N.A.,N.A.,154.3,96.6,100.5,35,0,0,0,N.A.
Haryana,Gurgaon,2008,N.A.,N.A.,N.A.,N.A.,54.3,110.5,139.6,207.5,102.2,0,0,0,N.A.
Haryana,Gurgaon,2009,0,1,0,8,1.5,18,68.1,96.3,244.1,0,24.5,0,461.5
Haryana,Gurgaon,2010,1,11.3,0,0,0.2,0.8,310.8,302.6,198.5,0,15,1,841.2
Haryana,Hissar,2004,11.5,0.9,0,16.2,38.3,41.6,3,138.3,14.9,34.2,0,2,300.9
Haryana,Hissar,2005,21.4,49.1,46.1,23.6,4.8,43.6,146.3,12.8,117.1,0,9,0,473.8
Haryana,Hissar,2006,0.4,0,20.1,1.2,45.7,32.6,74.8,11.4,53.4,0,0,7.3,246.9
Haryana,Hissar,2007,0,89.5,52.7,5.4,52.1,124,45.6,82.1,39.4,0,0.7,4.3,495.8
Haryana,Hissar,2008,3.5,2.4,0,11.9,50.4,103.7,83.7,115.6,63.1,3.3,8.3,0.8,446.7
Haryana,Hissar,2009,7.8,8,3.8,12.8,20.1,20.4,51.3,11.5,125.3,0,0,0.2,261.2
Haryana,Hissar,2010,8,3,2.4,0.4,0.6,35.9,147.4,86.6,81.8,0,0,14.2,380.3
Haryana,Jhajjar,2004,28,0,0,23,73.4,72.5,31,203.5,0,42,0,0,473.4
Haryana,Jhajjar,2005,10,47.5,30.5,0,12,90,271.5,6.5,151.3,0,0,0,619.3
Haryana,Jhajjar,2006,N.A.,N.A.,68,0,35,N.A.,164.1,37,67,0,0,0,N.A.
Haryana,Jhajjar,2007,N.A.,N.A.,N.A.,N.A.,N.A.,109.7,41.8,106,43.7,0,0,0,N.A.
Haryana,Jhajjar,2008,N.A.,N.A.,N.A.,N.A.,N.A.,139.9,150,198.9,123.5,0,0,0,N.A.
Haryana,Jhajjar,2009,0,0,0.3,14,9,4.3,97.7,72.6,183,0,0,0,380.9
Haryana,Jhajjar,2010,0,5.3,0,0,0,0,99.7,238.3,142.4,0,0,0,485.7
Haryana,Jind,2004,22.9,5,0,42,54,79.8,5.1,322.3,10.8,91,1,0.8,634.7
Haryana,Jind,2005,26.7,24.7,59.5,2.5,0,22.2,337.6,70,270.2,0,0,0,813.4
Haryana,Jind,2006,0,0,29,0,27.6,30,182.3,43.8,54.3,5,4.2,6,382.2
Haryana,Jind,2007,0,102.7,92,0,28,88.4,100.3,87.3,58.5,0,0,0,557.2
Haryana,Jind,2008,1.5,0,N.A.,N.A.,N.A.,170.4,102.1,123.4,154.8,0,9.5,0,N.A.
Haryana,Jind,2009,10.5,8.8,9,15,0,18.5,114.3,29.2,201.5,0,0,0,406.8
Haryana,Jind,2010,11.3,7.2,0,0,0,26.9,207.9,110.6,162,0,0.1,17.6,543.6
Haryana,Kaithal,2004,53,0,0,52.5,88,165,3,340.3,N.A.,9,25,0,N.A.
Haryana,Kaithal,2005,16,35,55,0,0,52,273.5,41.1,272.5,N.A.,N.A.,0,N.A.
Haryana,Kaithal,2006,6,0,34,0,17,69.5,77.7,20.3,19,0,0,0,243.5
Haryana,Kaithal,2007,N.A.,N.A.,N.A.,N.A.,N.A.,60.5,52.5,53,62.7,0,0,0,N.A.
Haryana,Kaithal,2008,N.A.,N.A.,N.A.,N.A.,N.A.,196,38,107,206.5,0,0,0,N.A.
Haryana,Kaithal,2009,0,0,N.A.,13.5,0,0,116.1,9.2,50,0,0,0,188.8
Haryana,Kaithal,2010,2,1.7,0,0,1.3,34,187.9,143.7,177.7,0,0,19.2,567.5
Haryana,Karnal,2004,65.4,0,0,32.6,78.4,49.2,17.5,282.9,58.6,41.2,0,4.5,630.3
Haryana,Karnal,2005,37.2,34.3,36.2,0.8,23.6,85.9,74.9,59.3,210.3,0,0,0,562.5
Haryana,Karnal,2006,2.4,5,36.3,0,29.9,77.6,117.4,9.5,36.3,7.2,13.2,5.2,340.0
Haryana,Karnal,2007,15.5,196.8,60,0,3.6,130.1,74.6,138.6,109.9,0,1.2,1.4,731.7
Haryana,Karnal,2008,1.4,2.4,0,15.6,71.7,155,103.7,146.4,109.1,1.2,7.1,0,613.6
Haryana,Karnal,2009,7.5,5.5,3.7,19,12.7,16.2,83.7,65.6,271.7,0,0,0,485.6
Haryana,Karnal,2010,5.5,11.5,0,2.5,6.2,29.3,280.5,249.2,276,0,0,16.1,876.8
Haryana,Kurukshetra,2004,62.6,0,0,45.5,14,72.5,19,264,51,31,0,5,564.6
Haryana,Kurukshetra,2005,36,32.5,57,0,9,96.5,53.3,118.5,152,0,0,0,554.8
Haryana,Kurukshetra,2006,2,0,26.5,0,20.8,52,96.5,14,24,2,0,4,241.8
Haryana,Kurukshetra,2007,0,104,47,2,20,59.5,76.5,31.5,14.5,0,0,0,355.0
Haryana,Kurukshetra,2008,N.A.,N.A.,N.A.,N.A.,N.A.,33,39.8,76.8,96.8,0,1.5,0,N.A.
Haryana,Kurukshetra,2009,0,5.5,1,12.3,0,11.3,68.3,30.3,123.7,0,0,0,252.4
Haryana,Kurukshetra,2010,0,3,0,0,11,26.5,225.1,65.5,105.2,0,0,22.3,458.6
Haryana,Mahendragarh,2004,2.9,0,0,13,11.8,7.4,5.9,172.9,0,50.5,0,0,264.4
Haryana,Mahendragarh,2005,6.2,29.3,6.5,0,0.7,111.5,64.2,19,85.7,0,0,0,323.1
Haryana,Mahendragarh,2006,0,0,15.6,0,2.1,11.8,104.4,7.1,15.3,7.3,0,7.3,170.9
Haryana,Mahendragarh,2007,6.8,86.3,13.5,0,16,117,45,104.2,64.1,0,0,2.5,455.4
Haryana,Mahendragarh,2008,0,0,0,30,133.5,266,121,140.8,133.9,0,2.3,0,827.5
Haryana,Mahendragarh,2009,2,0,9,0,14,47.6,51.1,68.4,84.8,0,0,0,276.9
Haryana,Mahendragarh,2010,0,9,0,0,0,8,121.1,197.1,163.2,0,23.7,0,522.1
Haryana,Panchkula,2004,98.7,0,0,0,6,18,101,467.5,123,97,0,0,911.2
Haryana,Panchkula,2005,N.A.,25,45,10,0,5,360,199.4,95,0,0,0,N.A.
Haryana,Panchkula,2006,12,0,75,0,54,61.8,207,250,93,0,0,5,757.8
Haryana,Panchkula,2007,N.A.,190,152,0,0,118,67,283,105,0,0,0,N.A.
Haryana,Panchkula,2008,9,0,0,5,8.5,101,120.5,209.5,121,7,0,0,581.5
Haryana,Panchkula,2009,2,7.6,0,4.5,11.5,5.5,97.8,75.4,183.4,11.8,0,0,399.5
Haryana,Panchkula,2010,0.3,6.3,0,0,2.8,48.3,252,159.3,229.4,0,0,9,707.4
Haryana,Panipat,2004,49,0,0,10,26,37,18,317.3,71,31,0,1,560.3
Haryana,Panipat,2005,17,13,40,0,0,16,108.5,71,290,0,0,0,555.5
Haryana,Panipat,2006,3,0,9,0,4,96,172.5,24,44.5,0,0,0,353.0
Haryana,Panipat,2007,0,51.8,15,0,7,61,44.5,41.5,69.5,0,0,0,290.3
Haryana,Panipat,2008,0,2.2,0,2,37,50.5,137,110.5,91.3,0,0,0,430.5
Haryana,Panipat,2009,0,N.A.,0,5,3,4.8,73.2,32.7,153.3,0,0,N.A.,N.A.
Haryana,Panipat,2010,0,0,N.A.,0,0,0,163,146.3,190.5,0,0,5.3,N.A.
Haryana,Rewari,2004,19,0,0,6,38,4.5,10,284.2,26.1,29,0,0,416.8
Haryana,Rewari,2005,0,80,11,0,32,64.5,306.5,20,114,0,0,0,628.0
Haryana,Rewari,2006,0,0,72,0,12,29,272.7,22.3,39.9,6,0,0,453.9
Haryana,Rewari,2007,N.A.,N.A.,N.A.,N.A.,N.A.,60,69.7,68.7,95.6,0,0,0,N.A.
Haryana,Rewari,2008,N.A.,N.A.,N.A.,N.A.,N.A.,165,185.5,112.3,165.7,0,0,0,N.A.
Haryana,Rewari,2009,0,N.A.,N.A.,N.A.,N.A.,15.8,61.7,38.2,135.3,0,N.A.,0,N.A.
Haryana,Rewari,2010,2,0,N.A.,0,0,4.5,148.6,299.1,161.7,0,4.8,4.4,625.1
Haryana,Rohtak,2004,18.3,0,0,20.3,36.8,30.5,0,242,0,52.5,0,0,400.4
Haryana,Rohtak,2005,10.2,34.6,51.4,8.5,2.8,32.1,217.1,46.1,205.9,0,0.6,0,609.3
Haryana,Rohtak,2006,1.4,0,25.5,0.6,18.6,126.2,99.6,48.6,115,0.8,0,3,439.3
Haryana,Rohtak,2007,0.7,53.3,52,4.8,32.1,39.2,49.1,84,42.2,0,0.3,18.9,376.6
Haryana,Rohtak,2008,0,1.1,0,30.7,145.7,85,101.9,117.8,83.1,0,15.3,0,580.6
Haryana,Rohtak,2009,1,0.1,2.6,55.8,10.1,18,81,31.3,202.9,0,0.2,1.1,404.1
Haryana,Rohtak,2010,7.4,13.1,0,0.1,0.1,6,79.7,204.3,153.7,12.3,0.1,9.3,486.1
Haryana,Sirsa,2004,7.6,2.8,0,2.5,51.1,99.1,1.7,52.2,1.2,24.9,0,3.1,246.2
Haryana,Sirsa,2005,15,33.4,48.1,0.7,21.4,20,78.2,8.8,84.1,0,4.1,0,313.8
Haryana,Sirsa,2006,2.2,0,74,4.2,36.5,86.6,162.7,9.1,36.4,13.8,4.9,7.5,437.9
Haryana,Sirsa,2007,0,58.6,10.5,0.6,7.6,144.8,18.2,31.3,29.6,0,1.3,3.4,305.9
Haryana,Sirsa,2008,5.9,12.6,0,18.1,13.3,148.1,9.6,109.7,20.3,1.2,4.7,0,343.5
Haryana,Sirsa,2009,8.4,11.5,21,21.3,13.2,4.4,10.1,9.9,25.2,0,1,0.3,126.3
Haryana,Sirsa,2010,7.3,19.4,3.5,0.2,2.5,35,106.2,96.3,120.6,0,0,5.9,396.9
Haryana,Sonepat,2004,26.6,0,0,12.5,51.8,41.8,10,342.5,16.3,102.1,0,0.3,603.9
Haryana,Sonepat,2005,13.5,34,40.2,3,2.5,36.5,157,44.8,224.2,0,0,0,555.7
Haryana,Sonepat,2006,0,0,10,0,61.5,37.9,128.3,15.3,53.2,0,0,0,306.2
Haryana,Sonepat,2007,0,17,9,0,42,23.3,92.3,64.3,56.2,0,0,0,304.1
Haryana,Sonepat,2008,0,0,0,3,41,133.1,196.2,272.5,122.3,0,23.3,0,791.4
Haryana,Sonepat,2009,0,19,12.5,23.3,4,18.5,156.1,47.8,301.3,0,0,0.3,582.8
Haryana,Sonepat,2010,5.3,16.3,0,0,0,16.3,227.6,258.3,226.8,7.5,0,8.3,766.4
Haryana,Yamunanagar,2004,87.5,0,0,47.7,57.5,75,107.8,319.3,34.4,9,0,4,742.2
Haryana,Yamunanagar,2005,34.5,48.5,37.5,0,3,100.5,405.6,110.7,251.6,0,0,0,991.9
Haryana,Yamunanagar,2006,11,0,43,0,29,87,325.1,107.3,31.5,0,0,3,636.9
Haryana,Yamunanagar,2007,0,120.2,77.5,3,4,93.5,211.3,192.7,22.6,0,0,4,728.8
Haryana,Yamunanagar,2008,0,4.8,0,2.3,0,290.8,293.3,177.6,85.3,11.5,0,0,865.6
Haryana,Yamunanagar,2009,3.5,20.5,4,20,0,7,159.9,220.7,308.9,6,0,0,750.5
Haryana,Yamunanagar,2010,7,27,0,0,8.3,25.4,495.4,387.1,437.3,11,6.7,28.7,1433.9
Himachal Pradesh,Bilaspur,2004,148.6,12.8,0,25.4,55,93.7,219.4,348.6,52.5,125,0,19,1100.0
Himachal Pradesh,Bilaspur,2005,56,113.9,81.2,1.4,17.6,46.7,334.7,187.2,103,0.2,0,0,941.9
Himachal Pradesh,Bilaspur,2006,53.9,1.7,86.3,27.2,82.2,75.6,403.1,366.4,204.7,20.8,7.9,18.2,1348.0
Himachal Pradesh,Bilaspur,2007,0,121,168.1,15.2,12.9,94.7,339.2,386.4,66.9,20,0,26.3,1250.7
Himachal Pradesh,Bilaspur,2008,25.1,37,0.8,37.1,36.2,248.2,295.9,385.3,207,25.2,0.4,0.5,1298.7
Himachal Pradesh,Bilaspur,2009,12,14.1,41.6,39.2,16.5,28.1,347.4,276.9,229.1,13.2,11,0,1029.1
Himachal Pradesh,Bilaspur,2010,10.1,41.2,1.6,2.7,56.4,157.4,314.3,205,180,18,9.4,73.6,1069.7
Himachal Pradesh,Chamba,2004,111.7,49.4,2.5,91.8,56.4,83.8,112.8,187,27.4,124.7,17.5,25.3,890.3
Himachal Pradesh,Chamba,2005,61.1,177,112,26.7,39.3,51.3,357.8,49.1,130.1,0,0,0,1004.4
Himachal Pradesh,Chamba,2006,194.2,128.2,118,3,36,88.3,208.6,312.3,66.3,16,27.2,21,1219.1
Himachal Pradesh,Chamba,2007,0.7,108,189.8,7,23.5,63.7,72.7,57,11,0,0,0,533.4
Himachal Pradesh,Chamba,2008,N.A.,N.A.,N.A.,N.A.,N.A.,98.3,134.6,98.7,90.8,4.6,0,50.5,N.A.
Himachal Pradesh,Chamba,2009,81,18.1,5.4,0,26.3,10.9,78.4,22.8,115.3,0,65.8,7.3,431.3
Himachal Pradesh,Chamba,2010,17.9,58.8,17.1,44,73.3,82.4,232.9,358.4,137.9,8.4,5.2,50.9,1087.2
Himachal Pradesh,Hamirpur,2004,140.6,21.6,0,41.8,47,137.1,303.6,319.3,98.3,138.8,3.1,38.7,1289.9
Himachal Pradesh,Hamirpur,2005,70.2,166.8,74.4,9.7,23,57.9,407.6,298.1,141.7,3.2,0,0,1252.6
Himachal Pradesh,Hamirpur,2006,57.2,2.1,99.7,20.3,112,166.5,482.9,394.9,189,31.7,7,28,1591.3
Himachal Pradesh,Hamirpur,2007,0,136.8,163.1,41.2,33.1,129.7,247.2,548.5,95.2,2.1,0,19.7,1416.6
Himachal Pradesh,Hamirpur,2008,41.9,46.8,0,47.9,57.9,359.1,325.8,396.1,111.8,30.4,0,1,1418.7
Himachal Pradesh,Hamirpur,2009,17.3,20.1,26.9,43.5,49.1,55.2,330.5,403.7,196.3,9.4,10.8,0,1162.8
Himachal Pradesh,Hamirpur,2010,11.8,52.2,5.8,4.7,38.2,118.1,325.1,346.4,250.2,12.9,13.3,67.7,1246.4
Himachal Pradesh,Kangra,2004,112.9,13.7,0,31.4,35.3,133.9,364.4,377.8,111.1,125.2,6.1,32.1,1343.9
Himachal Pradesh,Kangra,2005,71.9,156.3,83.2,7.1,11.3,95.7,482.2,315.7,240.5,6.9,0,0,1470.8
Himachal Pradesh,Kangra,2006,58.2,24.2,80,11.9,96.3,240.5,532.2,436.3,189.3,46.6,10.9,40.2,1766.6
Himachal Pradesh,Kangra,2007,0,126.8,195.5,11.4,50,241.9,388.1,398.4,172.4,2.1,3.4,20,1610.0
Himachal Pradesh,Kangra,2008,61.9,58.7,1.6,40.3,74.3,488.8,475.2,486.2,69.6,45.2,0,3.5,1805.3
Himachal Pradesh,Kangra,2009,30.1,35.1,29,55.6,33.9,52.3,402.8,329.4,162.1,13.5,65.7,0.4,1209.9
Himachal Pradesh,Kangra,2010,17.3,66,12.3,10.7,50.4,123.9,339.9,658.3,249.5,22.4,8.2,52.3,1611.2
Himachal Pradesh,Kinnaur,2004,29.3,37.1,2.8,45.6,19.5,2.9,25.9,51.7,5.9,22.4,0,12.8,255.9
Himachal Pradesh,Kinnaur,2005,123.9,137.6,76,19,20.7,13.7,132.1,14.5,104.4,1.9,0,0,643.8
Himachal Pradesh,Kinnaur,2006,0.5,0,41.8,83.1,14.8,22.3,57.6,42,21.1,2.3,5.3,42.8,333.6
Himachal Pradesh,Kinnaur,2007,0,116.2,165.9,5.1,28.8,19.2,61.3,82.8,71.9,25.7,0.4,51.2,628.5
Himachal Pradesh,Kinnaur,2008,227,52.4,18.4,60.8,21.4,33.9,28.7,75.9,169.9,1.1,3.1,42.5,735.1
Himachal Pradesh,Kinnaur,2009,29.9,36.5,12.6,59.8,65.3,26.8,49.4,19.3,205.9,19.6,24.8,22.1,572
Himachal Pradesh,Kinnaur,2010,37.1,107.2,63.2,113.1,118.1,80,130.7,132.4,203.9,26.3,13.6,44.2,1069.8
Himachal Pradesh,Kulu,2004,141.8,43,0,61.3,105.2,34.4,116.2,201.4,14,166.5,1.1,27.8,912.7
Himachal Pradesh,Kulu,2005,80.7,142.2,162.7,24.9,96.6,76.3,294.6,49.3,114.2,0.7,0,0,1042.2
Himachal Pradesh,Kulu,2006,123,56.8,84.8,63.6,47,53.6,157.6,124.2,90.3,12.1,19.9,40.2,873.1
Himachal Pradesh,Kulu,2007,0,173.5,203,18.1,94.5,38.7,121,125.4,39.2,18.2,0,19.8,851.4
Himachal Pradesh,Kulu,2008,181.5,55.4,6.3,83,89.1,181.9,251.1,287.7,216.1,35,1.8,57.1,1446.0
Himachal Pradesh,Kulu,2009,109.9,105.3,51.2,83.5,78.8,43.3,160.5,161.3,211.9,12.4,136.4,24.2,1178.7
Himachal Pradesh,Kulu,2010,21.8,177.7,103.8,70.1,102.5,198.4,292.8,408.7,234.9,50.9,15.7,69.2,1746.5
Himachal Pradesh,Lahaul and Spiti,2009,71.2,72.6,31.2,81.5,62.2,31.6,40,32.9,112.1,14.1,40.1,30.2,619.7
Himachal Pradesh,Lahaul and Spiti,2010,16.6,86.6,57.7,103.7,134.3,100,143.5,42.9,44.5,27.7,4.3,52,813.8
Himachal Pradesh,Mandi,2004,137.2,12.7,0,25.6,56.5,128.5,302.7,303.9,74.6,116.7,0.3,11.4,1170.1
Himachal Pradesh,Mandi,2005,49.6,147.2,82.5,6.8,21.7,110.2,561.4,147.4,135.8,1.7,0,0.1,1264.4
Himachal Pradesh,Mandi,2006,53.7,2.8,84.4,36.1,99.1,99.9,338.6,317.1,169.2,22.7,9.1,32.5,1265.2
Himachal Pradesh,Mandi,2007,0,123,169.9,5.9,55.9,167.6,379.9,429.7,113.1,5.2,0,22.1,1472.3
Himachal Pradesh,Mandi,2008,59,44.7,2,29.6,94.9,311.6,274.4,290.7,164.8,21.1,2.3,5.4,1300.5
Himachal Pradesh,Mandi,2009,19.2,16.1,57.6,45.9,61.4,71.8,185.3,240.9,239.9,7.2,19.7,0.2,965.2
Himachal Pradesh,Mandi,2010,11.4,83.2,14,18.5,47.4,187.6,378.5,434.8,215.9,21.5,8.5,62.3,1483.6
Himachal Pradesh,Simla,2004,99.2,32.2,0,47.4,56.1,86,75.4,252,31.6,91.5,1.5,6.3,779.2
Himachal Pradesh,Simla,2005,76.5,144.5,89.7,33.6,22.4,99.4,375.7,69.9,132,0.5,0.7,0,1044.9
Himachal Pradesh,Simla,2006,75.3,12.9,98.9,45.9,95.4,157.9,299,280.5,62.4,20,16.9,35.5,1200.6
Himachal Pradesh,Simla,2007,0,128.2,155.2,12.7,49.5,68.3,145.2,228.9,45.1,20.3,0,31.3,884.7
Himachal Pradesh,Simla,2008,92.9,44.5,2.1,39.5,102.9,248,148.1,284.2,243.7,12.9,6.1,12.7,1237.6
Himachal Pradesh,Simla,2009,14.8,19,39,36.2,42,39.5,127.3,110.2,270.3,7.8,18,2.6,726.7
Himachal Pradesh,Simla,2010,17.1,87.7,9.3,20.7,49.8,155,303.5,280.4,261.6,26.5,8.3,52.8,1272.7
Himachal Pradesh,Sirmur,2004,98.5,6,0,31.7,55.5,147.7,150.2,542.9,77.6,97.5,2.7,3.7,1214.0
Himachal Pradesh,Sirmur,2005,63.5,96.9,87.7,3.3,29.4,105.6,477,127.5,323,0,0,0,1313.9
Himachal Pradesh,Sirmur,2006,42.7,1.3,125.4,6.4,104.6,123.4,538.4,322,64.4,20,10.8,18.8,1378.2
Himachal Pradesh,Sirmur,2007,0,179.7,166,15.2,24.8,186.9,199.6,399,80.8,13.3,0,11,1276.3
Himachal Pradesh,Sirmur,2008,29.4,33.1,0,41.9,64,320.6,305.7,366,255.1,5.3,1,0,1422.1
Himachal Pradesh,Sirmur,2009,1.3,24.1,24.9,16.6,37.1,40.7,313.3,112.7,365.1,26.3,12.8,0,974.9
Himachal Pradesh,Sirmur,2010,8.1,31.4,1.2,4.4,24.6,90.3,566.7,509.5,597.1,13.4,12.3,44.9,1903.9
Himachal Pradesh,Solan,2004,87.9,4.3,0,37.1,51.9,76.1,78.4,306.3,82.3,85.4,0.4,3,813.1
Himachal Pradesh,Solan,2005,49.2,129.8,55.8,9.4,19.5,33.5,391,93.7,167.4,1.4,0,0,950.7
Himachal Pradesh,Solan,2006,49.9,0.9,100.3,13.3,77.6,103.2,271.7,244.2,80.6,7.4,7.7,17.8,974.6
Himachal Pradesh,Solan,2007,0.1,171.2,150.6,18,21.1,124.1,200,364.2,100.8,18.9,0,4.8,1173.8
Himachal Pradesh,Solan,2008,44.1,32.7,0,11.4,95.9,307.5,275.3,357.9,341.2,24.9,0,1.2,1492.1
Himachal Pradesh,Solan,2009,10.6,22.2,34.3,19.4,21.1,44.9,224.7,122.4,365.9,10.3,6.1,0.2,882.1
Himachal Pradesh,Solan,2010,7.5,56.3,0.2,0.7,39.4,169.2,419.3,287.4,283.8,29.8,15.4,68.3,1377.3
Himachal Pradesh,Una,2004,116.2,13.2,0,24.7,34.7,123.3,320,226.6,89.8,145.7,2.2,12,1108.4
Himachal Pradesh,Una,2005,62,156.5,69.4,8,16.2,78,409.7,273.4,143.7,0.5,0,0,1217.4
Himachal Pradesh,Una,2006,15.4,1.3,32.8,14.3,83.6,146.9,313.8,506.9,138.7,23.8,4.5,26.5,1308.5
Himachal Pradesh,Una,2007,0,98.1,127,25.3,15.3,127.4,244.1,506.9,86.3,1.6,0,12.3,1244.3
Himachal Pradesh,Una,2008,16.3,14.2,0,18,12.2,292.8,439,551.4,90.4,36.7,0,0.5,1471.5
Himachal Pradesh,Una,2009,14.6,45,31.8,31.2,25.3,44.2,430.9,454.3,84.1,20.6,30.2,0,1212.2
Himachal Pradesh,Una,2010,10.8,38.4,2.4,1.3,52.4,79.5,270.4,409.6,217.9,35.1,5.8,58.7,1182.3
Jammu and Kashmir,Anantnag,2004,125.1,78.3,13.3,145.8,65.9,75.6,52.7,65.6,28.5,81.1,27.8,17,776.7
Jammu and Kashmir,Anantnag,2005,178.1,379.6,148.3,93.1,100.2,39.1,127.2,30.8,31.6,16.8,29.4,1.1,1175.3
Jammu and Kashmir,Anantnag,2006,204,93.5,108,58.7,31.1,68.6,120.2,141.6,151.8,34.5,61.8,133.8,1207.6
Jammu and Kashmir,Anantnag,2007,24.6,65.5,281.1,7.8,60.5,82.6,59.1,87,44.2,0.3,0,55.5,768.2
Jammu and Kashmir,Anantnag,2008,139.7,155,15.9,84.4,101.5,72.2,62.2,73.1,66,37.7,31.2,112.5,951.4
Jammu and Kashmir,Anantnag,2009,166.1,128.2,76.5,107.7,82.9,92.7,78.4,47.2,43.9,5.6,67.4,27.9,924.5
Jammu and Kashmir,Anantnag,2010,53.9,110,65.2,142.9,266.9,100.1,91.2,107.2,87.7,62.6,25.6,57.2,1170.5
Jammu and Kashmir,Badgam,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Jammu and Kashmir,Badgam,2010,N.A.,N.A.,39.2,136.3,182.1,64.6,68.9,64.7,16.6,48,1.2,47.4,N.A.
Jammu and Kashmir,Doda,2004,272.8,117.8,4.7,116.5,92.6,124.7,93.4,73.5,14.6,119.7,43.4,40.8,1114.5
Jammu and Kashmir,Doda,2005,206.9,576.4,231.1,70.5,64.1,39.3,266.3,60.6,72.9,6.2,11.4,0,1605.7
Jammu and Kashmir,Doda,2006,326.7,117.6,187.9,63.9,53.7,70,240.6,214.4,283,67,12.2,37.9,1674.9
Jammu and Kashmir,Doda,2007,4.9,151.9,353.2,14,62.3,66.9,88.7,100.4,28.8,0.9,0,83.9,955.9
Jammu and Kashmir,Doda,2008,25.1,227,7.7,122.7,65.6,102.2,102.6,72.8,48,44.8,6.6,131.7,956.8
Jammu and Kashmir,Doda,2009,160,151.9,82.7,141,59.6,50.6,112.2,51.7,59.1,7.1,81.2,19.1,976.2
Jammu and Kashmir,Doda,2010,48,240.8,41.6,79.2,177.6,109.2,167.2,189,110,36.2,29.8,73.8,1302.4
Jammu and Kashmir,Jammu,2004,110.2,25.9,0,42.5,25.2,103.2,350.9,164.6,78.5,48.5,4.4,25.1,979
Jammu and Kashmir,Jammu,2005,123,139.5,111.6,12.7,12.2,24.6,340.1,162.8,41.6,1.8,0,0,969.9
Jammu and Kashmir,Jammu,2006,70.8,4.2,44.6,10.7,16.1,150.2,379.9,269.4,123.8,56,7,32.4,1165.1
Jammu and Kashmir,Jammu,2007,0,95.9,243.6,3,28,185.2,274,333,42.4,0,3.7,8.9,1217.7
Jammu and Kashmir,Jammu,2008,98,23.4,2.2,56.4,42.8,228.2,384.9,225.8,20,21.1,0,20.3,1123.1
Jammu and Kashmir,Jammu,2009,69.5,34.1,15.6,41.1,11.6,18.6,244.4,273.4,26.1,7.2,4.2,0.6,746.4
Jammu and Kashmir,Jammu,2010,7.5,26.9,4.9,6.2,39.1,67,272.9,586.1,84.4,31.5,2.6,52.8,1181.9
Jammu and Kashmir,Kathua,2004,119,6.7,0,42,21.3,83.8,363.6,214.8,66.2,46.8,11.6,15.6,991.4
Jammu and Kashmir,Kathua,2005,45.8,174.4,65.6,12.8,7,16.4,404.4,277.8,210.2,1.4,0,0,1215.8
Jammu and Kashmir,Kathua,2006,27.6,20,64.5,10.2,16.4,30.7,54.3,104.2,56.2,41.8,148.7,91.9,666.5
Jammu and Kashmir,Kathua,2007,0,86.6,188.2,0,51,367,438.4,673.6,16.2,0,3.2,30,1854.2
Jammu and Kashmir,Kathua,2008,46.4,28,0,40.8,11.8,286.6,390.6,451.8,31.6,61,0,13,1361.6
Jammu and Kashmir,Kathua,2009,41.8,69.6,17.4,53,23.8,45.2,237,148.4,38.6,0,38.6,0,713.4
Jammu and Kashmir,Kathua,2010,4,54.2,4.8,0,18.8,121,281.4,552.2,164.6,44.8,6.8,68.2,1320.8
Jammu and Kashmir,Kupwara,2004,120.7,104.5,15.4,172.5,74,41.4,51.2,50.8,52.8,69.9,31.7,68.6,853.5
Jammu and Kashmir,Kupwara,2005,105.9,297.7,176.4,71.7,74.1,6.2,67.5,29.9,16.9,23.6,50.1,0,920
Jammu and Kashmir,Kupwara,2006,205.5,134.6,109.7,145,44,0.4,0.3,17.2,10.8,0,0,0,667.5
Jammu and Kashmir,Kupwara,2007,9.7,96,206.8,21.4,51.5,108.6,79.1,41.5,3.9,1.8,0,31.6,651.9
Jammu and Kashmir,Kupwara,2008,220.8,69.7,26.6,142.5,58.9,18.2,57.3,75.1,26.1,43.5,82.4,162.1,983.2
Jammu and Kashmir,Kupwara,2009,131.3,168.9,115.2,181.4,74.5,44.5,59.6,13.9,45.6,18.3,38.2,22.1,913.5
