Source,IMD,,,,,,,,,,,,,,
State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Andhra Pradesh,Kurnool,2009,0.1,0,12.8,0,67.5,88.6,24.7,88.5,227.3,197.2,57.8,3.4,767.9
Andhra Pradesh,Kurnool,2010,4.1,0,0,18.8,41.4,91.7,194,208.5,124.5,80.6,48.2,11.4,823.2
Andhra Pradesh,Medak,2009,0,0,0,6.6,21,52.3,64.3,157.6,142.7,41.2,13.8,4.6,504.1
Andhra Pradesh,Medak,2010,9.7,13.5,0,5.5,5.3,83.8,337,269.9,199.6,95.2,18.3,0.6,1038.4
Andhra Pradesh,Nellore,2009,0.1,0,0.1,0,28.5,33.2,40.3,111.6,66.9,49.6,465.7,109.6,905.6
Andhra Pradesh,Nellore,2010,4.9,0,0,17.8,108.3,112.5,116.3,203.7,109.4,244.7,343.9,154.7,1416.2
Andhra Pradesh,Nizamabad,2009,0,0,0.1,9.9,15.7,78.7,173.9,188.3,155.5,48,15.8,3.8,689.7
Andhra Pradesh,Nizamabad,2010,8.4,30.3,0.9,7.3,0.5,104.1,299.2,303.8,245.4,157.5,34.9,0.4,1192.7
Andhra Pradesh,Prakasam,2009,1.9,0,4.5,3.7,40.6,49.3,22.6,98.8,126.5,50.3,216.6,20.3,635.1
Andhra Pradesh,Prakasam,2010,17.7,2,4.3,1,265.4,106.9,170.3,205.1,131.7,163.4,227.1,108.1,1403
Andhra Pradesh,Rangareddy,2009,0,0,3.3,32.9,20.2,89.9,67,299.8,151.5,77.1,34.7,2.4,778.8
Andhra Pradesh,Rangareddy,2010,9.6,3.2,0,13.9,21.2,162.2,272.4,286.6,205.4,99.4,31.7,4.8,1110.4
Andhra Pradesh,Srikakulam,2009,0,0,10.2,7.2,26,99.3,215.9,162.5,145.4,122.6,85.2,0,874.3
Andhra Pradesh,Srikakulam,2010,0.4,16.4,17.5,3.1,172.7,142.1,236.8,263,207.9,333,178.6,129,1700.5
Andhra Pradesh,Visakhapatnam,2009,0,0,6.3,6.6,24.3,94.9,132.7,92,171.6,116.9,89,0,734.3
Andhra Pradesh,Visakhapatnam,2010,13.6,0.1,2.1,27.5,173.1,156.3,321,167,188,203.5,287.4,163,1702.6
Andhra Pradesh,Vizianagaram,2009,0,0,13.3,11.3,50.5,145.1,182.1,242.9,144.2,125,118,0,1032.4
Andhra Pradesh,Vizianagaram,2010,46.2,9.6,14.8,5.5,128.9,179.9,293,234,245.9,189.6,167.1,133.4,1647.9
Andhra Pradesh,Warangal,2009,0,0,0,0.9,22,50.6,123.7,149.2,180.4,81.1,46.9,0.4,655.2
Andhra Pradesh,Warangal,2010,7.8,5.7,0,0,56.2,119.5,499.3,223.7,280.3,99.7,39.2,21.9,1353.3
